@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2021/11/10 17:51:17:391',1,242,248,465,248,250,249,0.124459,0.407076,0.333809
2,'2021/11/10 17:51:17:432',1,242,248,469,248,250,249,0.124459,0.407076,0.333809
3,'2021/11/10 17:51:17:434',1,242,249,469,248,250,249,0.124459,0.407076,0.333809
4,'2021/11/10 17:51:17:436',1,243,249,469,248,250,249,0.124459,0.407076,0.333809
5,'2021/11/10 17:51:17:436',1,243,249,469,247,250,249,0.124459,0.407076,0.333809
6,'2021/11/10 17:51:17:436',1,243,249,467,247,250,249,0.124459,0.407076,0.333809
7,'2021/11/10 17:51:17:439',1,243,248,467,247,250,249,0.124459,0.407076,0.333809
8,'2021/11/10 17:51:17:463',1,243,248,465,247,250,249,0.124459,0.407076,0.333809
9,'2021/11/10 17:51:17:464',1,244,248,465,247,250,249,0.124459,0.407076,0.333809
10,'2021/11/10 17:51:17:493',1,244,248,465,247,251,249,0.124459,0.407076,0.333809
11,'2021/11/10 17:51:17:494',1,244,248,463,247,251,249,0.124459,0.407076,0.333809
12,'2021/11/10 17:51:17:494',1,244,249,463,247,251,249,0.124459,0.407076,0.333809
13,'2021/11/10 17:51:17:495',1,243,249,463,247,251,249,0.124459,0.407076,0.333809
14,'2021/11/10 17:51:17:538',1,243,249,463,247,250,249,0.124459,0.407076,0.333809
15,'2021/11/10 17:51:17:541',1,243,249,468,247,250,249,0.124459,0.407076,0.333809
16,'2021/11/10 17:51:17:542',1,243,247,468,247,250,249,0.124459,0.407076,0.333809
17,'2021/11/10 17:51:17:544',1,241,247,468,247,250,249,0.124459,0.407076,0.333809
18,'2021/11/10 17:51:17:568',1,241,247,468,247,249,249,0.124459,0.407076,0.333809
19,'2021/11/10 17:51:17:569',1,241,247,471,247,249,249,0.124459,0.407076,0.333809
20,'2021/11/10 17:51:17:569',1,242,247,471,247,249,249,0.124459,0.407076,0.333809
21,'2021/11/10 17:51:17:597',1,242,247,471,247,250,249,0.124459,0.407076,0.333809
22,'2021/11/10 17:51:17:598',1,242,247,471,248,250,249,0.124459,0.407076,0.333809
23,'2021/11/10 17:51:17:598',1,242,247,465,248,250,249,0.124459,0.407076,0.333809
24,'2021/11/10 17:51:17:598',1,242,248,465,248,250,249,0.124459,0.407076,0.333809
25,'2021/11/10 17:51:17:598',1,243,248,465,248,250,249,0.124459,0.407076,0.333809
26,'2021/11/10 17:51:17:642',1,243,248,465,248,251,249,0.124459,0.407076,0.333809
27,'2021/11/10 17:51:17:643',1,243,248,465,247,251,249,0.124459,0.407076,0.333809
28,'2021/11/10 17:51:17:643',1,243,248,468,247,251,249,0.124459,0.407076,0.333809
29,'2021/11/10 17:51:17:672',1,243,248,468,247,250,249,0.124459,0.407076,0.333809
30,'2021/11/10 17:51:17:673',1,243,248,469,247,250,249,0.124459,0.407076,0.333809
31,'2021/11/10 17:51:17:673',1,242,248,469,247,250,249,0.124459,0.407076,0.333809
32,'2021/11/10 17:51:17:702',1,242,248,469,247,249,249,0.124459,0.407076,0.333809
33,'2021/11/10 17:51:17:703',1,242,248,468,247,249,249,0.124459,0.407076,0.333809
34,'2021/11/10 17:51:17:703',1,243,248,468,247,249,249,0.124459,0.407076,0.333809
35,'2021/11/10 17:51:17:747',1,243,248,468,247,250,249,0.124459,0.407076,0.333809
36,'2021/11/10 17:51:17:748',1,243,248,468,248,250,249,0.124459,0.407076,0.333809
37,'2021/11/10 17:51:17:748',1,243,248,466,248,250,249,0.124459,0.407076,0.333809
38,'2021/11/10 17:51:17:748',1,243,249,466,248,250,249,0.124459,0.407076,0.333809
39,'2021/11/10 17:51:17:749',1,242,249,466,248,250,249,0.124459,0.407076,0.333809
40,'2021/11/10 17:51:29:867',2,254,461,323,248,254,249,0.535972,0.636901,0.191565
41,'2021/11/10 17:51:29:880',2,254,461,323,248,252,249,0.535972,0.636901,0.191565
42,'2021/11/10 17:51:29:880',2,254,461,323,251,252,249,0.535972,0.636901,0.191565
43,'2021/11/10 17:51:29:880',2,254,461,322,251,252,249,0.535972,0.636901,0.191565
44,'2021/11/10 17:51:29:880',2,252,461,322,251,252,249,0.535972,0.636901,0.191565
45,'2021/11/10 17:51:29:897',2,252,461,322,251,252,248,0.535972,0.636901,0.191565
46,'2021/11/10 17:51:29:897',2,252,461,322,252,252,248,0.535972,0.636901,0.191565
47,'2021/11/10 17:51:29:897',2,252,461,324,252,252,248,0.535972,0.636901,0.191565
48,'2021/11/10 17:51:29:898',2,252,456,324,252,252,248,0.535972,0.636901,0.191565
49,'2021/11/10 17:51:29:898',2,255,456,324,252,252,248,0.535972,0.636901,0.191565
50,'2021/11/10 17:51:29:942',2,255,456,324,252,252,245,0.535972,0.636901,0.191565
51,'2021/11/10 17:51:29:942',2,255,456,324,252,251,245,0.535972,0.636901,0.191565
52,'2021/11/10 17:51:29:942',2,255,456,324,247,251,245,0.535972,0.636901,0.191565
53,'2021/11/10 17:51:29:942',2,255,456,327,247,251,245,0.535972,0.636901,0.191565
