@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
180,'2021/11/13 18:47:24:652',6,244,252,470,246,249,253,?
181,'2021/11/13 18:47:24:681',6,244,252,470,247,249,253,?
182,'2021/11/13 18:47:24:683',6,244,252,471,247,249,253,?
183,'2021/11/13 18:47:24:683',6,244,246,471,247,249,253,?
184,'2021/11/13 18:47:24:684',6,240,246,471,247,249,253,?
185,'2021/11/13 18:47:24:685',6,240,246,471,247,249,251,?
186,'2021/11/13 18:47:24:685',6,240,246,471,247,250,251,?
187,'2021/11/13 18:47:24:685',6,240,246,471,248,250,251,?
188,'2021/11/13 18:47:24:686',6,240,246,467,248,250,251,?
189,'2021/11/13 18:47:24:686',6,240,251,467,248,250,251,?
190,'2021/11/13 18:47:24:686',6,245,251,467,248,250,251,?
191,'2021/11/13 18:47:24:724',6,245,251,467,248,250,259,?
192,'2021/11/13 18:47:24:729',6,245,251,467,248,253,259,?
193,'2021/11/13 18:47:24:729',6,245,251,467,247,253,259,?
194,'2021/11/13 18:47:24:729',6,245,251,475,247,253,259,?
195,'2021/11/13 18:47:24:729',6,245,256,475,247,253,259,?
196,'2021/11/13 18:47:24:729',6,250,256,475,247,253,259,?
197,'2021/11/13 18:47:24:754',6,250,256,475,247,253,257,?
198,'2021/11/13 18:47:24:754',6,250,256,475,247,252,257,?
199,'2021/11/13 18:47:24:754',6,250,256,475,246,252,257,?
200,'2021/11/13 18:47:24:754',6,250,256,472,246,252,257,?
201,'2021/11/13 18:47:24:754',6,250,248,472,246,252,257,?
202,'2021/11/13 18:47:24:755',6,239,248,472,246,252,257,?
203,'2021/11/13 18:47:24:784',6,239,248,472,246,252,252,?
204,'2021/11/13 18:47:24:784',6,239,248,472,246,251,252,?
205,'2021/11/13 18:47:24:784',6,239,248,472,247,251,252,?
206,'2021/11/13 18:47:24:784',6,239,248,470,247,251,252,?
207,'2021/11/13 18:47:24:785',6,239,250,470,247,251,252,?
208,'2021/11/13 18:47:24:785',6,242,250,470,247,251,252,?
209,'2021/11/13 18:47:24:829',6,242,250,470,247,251,254,?
210,'2021/11/13 18:47:24:829',6,242,250,470,247,252,254,?
211,'2021/11/13 18:47:24:829',6,242,250,471,247,252,254,?
212,'2021/11/13 18:47:24:830',6,242,254,471,247,252,254,?
213,'2021/11/13 18:47:24:830',6,245,254,471,247,252,254,?
214,'2021/11/13 18:47:24:859',6,245,254,471,247,252,258,?
215,'2021/11/13 18:47:24:859',6,245,254,471,247,253,258,?
216,'2021/11/13 18:47:24:859',6,245,254,471,246,253,258,?
217,'2021/11/13 18:47:24:859',6,245,250,471,246,253,258,?
218,'2021/11/13 18:47:24:859',6,242,250,471,246,253,258,?
219,'2021/11/13 18:47:24:904',6,242,250,471,246,253,254,?
220,'2021/11/13 18:47:24:905',6,242,250,469,246,253,254,?
221,'2021/11/13 18:47:24:905',6,242,248,469,246,253,254,?
222,'2021/11/13 18:47:24:905',6,241,248,469,246,253,254,?
223,'2021/11/13 18:47:24:934',6,241,248,469,246,253,250,?
224,'2021/11/13 18:47:24:938',6,241,248,469,246,252,250,?
225,'2021/11/13 18:47:24:938',6,241,248,469,247,252,250,?
226,'2021/11/13 18:47:24:938',6,241,248,472,247,252,250,?
227,'2021/11/13 18:47:24:938',6,241,250,472,247,252,250,?
228,'2021/11/13 18:47:24:965',6,241,250,472,247,252,248,?
229,'2021/11/13 18:47:24:965',6,241,250,472,248,252,248,?
230,'2021/11/13 18:47:24:965',6,241,250,469,248,252,248,?
231,'2021/11/13 18:47:25:010',6,241,250,469,248,252,250,?
232,'2021/11/13 18:47:25:016',6,241,249,469,248,252,250,?
233,'2021/11/13 18:47:25:021',6,240,249,469,248,252,250,?
234,'2021/11/13 18:47:25:039',6,240,249,469,248,251,250,?
235,'2021/11/13 18:47:25:040',6,240,249,469,247,251,250,?
236,'2021/11/13 18:47:25:040',6,240,249,468,247,251,250,?
237,'2021/11/13 18:47:25:040',6,241,249,468,247,251,250,?
238,'2021/11/13 18:47:25:069',6,241,249,468,247,251,249,?
239,'2021/11/13 18:47:25:070',6,241,249,470,247,251,249,?
240,'2021/11/13 18:47:25:070',6,240,249,470,247,251,249,?
241,'2021/11/13 18:47:25:114',6,240,249,470,247,250,249,?
242,'2021/11/13 18:47:25:115',6,240,249,472,247,250,249,?
243,'2021/11/13 18:47:25:115',6,240,250,472,247,250,249,?
244,'2021/11/13 18:47:25:144',6,240,250,473,247,250,249,?
245,'2021/11/13 18:47:25:174',6,240,250,473,247,251,249,?
246,'2021/11/13 18:47:25:176',6,240,250,473,248,251,249,?
247,'2021/11/13 18:47:25:177',6,240,250,472,248,251,249,?
248,'2021/11/13 18:47:25:177',6,240,249,472,248,251,249,?
249,'2021/11/13 18:47:25:220',6,240,249,472,248,251,258,?
250,'2021/11/13 18:47:25:222',6,240,249,472,248,250,258,?
251,'2021/11/13 18:47:25:222',6,240,249,472,246,250,258,?
252,'2021/11/13 18:47:25:223',6,240,249,470,246,250,258,?
253,'2021/11/13 18:47:25:223',6,240,248,470,246,250,258,?
254,'2021/11/13 18:47:25:223',6,241,248,470,246,250,258,?
255,'2021/11/13 18:47:25:249',6,241,248,470,246,250,253,?
256,'2021/11/13 18:47:25:251',6,241,248,470,247,250,253,?
257,'2021/11/13 18:47:25:256',6,241,248,471,247,250,253,?
258,'2021/11/13 18:47:25:259',6,241,250,471,247,250,253,?
259,'2021/11/13 18:47:25:260',6,240,250,471,247,250,253,?
260,'2021/11/13 18:47:25:294',6,240,250,471,247,250,250,?
261,'2021/11/13 18:47:25:295',6,240,250,467,247,250,250,?
262,'2021/11/13 18:47:25:295',6,240,249,467,247,250,250,?
263,'2021/11/13 18:47:25:295',6,241,249,467,247,250,250,?
264,'2021/11/13 18:47:25:324',6,241,249,467,247,250,249,?
265,'2021/11/13 18:47:25:325',6,241,249,470,247,250,249,?
266,'2021/11/13 18:47:25:325',6,241,248,470,247,250,249,?
267,'2021/11/13 18:47:25:325',6,239,248,470,247,250,249,?
268,'2021/11/13 18:47:25:355',6,239,248,472,247,250,249,?
269,'2021/11/13 18:47:25:355',6,239,249,472,247,250,249,?
270,'2021/11/13 18:47:25:357',6,240,249,472,247,250,249,?
271,'2021/11/13 18:47:25:400',6,240,249,468,247,250,249,?
272,'2021/11/13 18:47:25:400',6,241,249,468,247,250,249,?
273,'2021/11/13 18:47:25:430',6,241,249,471,247,250,249,?
274,'2021/11/13 18:47:25:431',6,241,251,471,247,250,249,?
275,'2021/11/13 18:47:25:459',6,241,249,471,247,250,249,?
276,'2021/11/13 18:47:25:460',6,242,249,471,247,250,249,?
277,'2021/11/13 18:47:25:505',6,242,249,471,247,250,248,?
278,'2021/11/13 18:47:25:505',6,242,250,471,247,250,248,?
279,'2021/11/13 18:47:25:506',6,240,250,471,247,250,248,?
280,'2021/11/13 18:47:25:534',6,240,250,471,247,250,249,?
281,'2021/11/13 18:47:25:535',6,240,249,471,247,250,249,?
282,'2021/11/13 18:47:25:579',6,239,249,471,247,250,249,?
283,'2021/11/13 18:47:25:609',6,239,249,469,247,250,249,?
284,'2021/11/13 18:47:25:609',6,240,249,469,247,250,249,?
285,'2021/11/13 18:47:25:639',6,240,249,470,247,250,249,?
286,'2021/11/13 18:47:25:684',6,240,249,470,248,250,249,?
287,'2021/11/13 18:47:25:684',6,240,249,471,248,250,249,?
288,'2021/11/13 18:47:25:714',6,240,249,471,247,250,249,?
289,'2021/11/13 18:47:25:716',6,240,249,472,247,250,249,?
290,'2021/11/13 18:47:25:716',6,240,252,472,247,250,249,?
291,'2021/11/13 18:47:25:744',6,240,252,471,247,250,249,?
292,'2021/11/13 18:47:25:745',6,240,249,471,247,250,249,?
293,'2021/11/13 18:47:25:746',6,241,249,471,247,250,249,?
294,'2021/11/13 18:47:25:789',6,241,250,471,247,250,249,?
295,'2021/11/13 18:47:25:789',6,239,250,471,247,250,249,?
296,'2021/11/13 18:47:25:819',6,239,250,470,247,250,249,?
297,'2021/11/13 18:47:25:824',6,239,249,470,247,250,249,?
298,'2021/11/13 18:47:25:826',6,240,249,470,247,250,249,?
299,'2021/11/13 18:47:25:849',6,240,249,470,248,250,249,?
300,'2021/11/13 18:47:25:850',6,240,249,469,248,250,249,?
301,'2021/11/13 18:47:25:850',6,240,250,469,248,250,249,?
302,'2021/11/13 18:47:25:850',6,239,250,469,248,250,249,?
303,'2021/11/13 18:47:30:725',7,388,395,360,258,247,249,?
304,'2021/11/13 18:47:30:727',7,388,395,360,258,245,249,?
305,'2021/11/13 18:47:30:727',7,388,395,360,250,245,249,?
306,'2021/11/13 18:47:30:727',7,388,395,364,250,245,249,?
307,'2021/11/13 18:47:30:727',7,388,394,364,250,245,249,?
308,'2021/11/13 18:47:30:727',7,390,394,364,250,245,249,?
309,'2021/11/13 18:47:30:755',7,390,394,364,250,245,252,?
310,'2021/11/13 18:47:30:755',7,390,394,364,245,245,252,?
311,'2021/11/13 18:47:30:755',7,390,394,354,245,245,252,?
312,'2021/11/13 18:47:30:756',7,390,398,354,245,245,252,?
313,'2021/11/13 18:47:30:757',7,385,398,354,245,245,252,?
314,'2021/11/13 18:47:30:799',7,385,398,354,245,245,254,?
315,'2021/11/13 18:47:30:800',7,385,398,354,245,247,254,?
316,'2021/11/13 18:47:30:800',7,385,398,354,248,247,254,?
317,'2021/11/13 18:47:30:801',7,385,398,350,248,247,254,?
318,'2021/11/13 18:47:30:801',7,387,398,350,248,247,254,?
319,'2021/11/13 18:47:30:829',7,387,398,350,248,247,251,?
